,time,prophet_pred,arima_pred,values,precinct_number
108,2022-07-01,192.482865003728,214.46234395927772,220.0,1
109,2022-08-01,223.13812663210177,219.7381090830831,228.0,1
110,2022-09-01,210.5438374035196,224.30649166381767,189.0,1
111,2022-10-01,244.31808335217116,202.4867235569655,190.0,1
112,2022-11-01,212.1752493442262,201.83074734276784,175.0,1
113,2022-12-01,165.88101152530072,192.2358404624977,134.0,1
114,2023-01-01,212.42683556919795,167.38037463178335,132.0,1
115,2023-02-01,195.5092110702737,163.21462377868468,179.0,1
116,2023-03-01,223.99895541729256,187.0811932171836,230.0,1
117,2023-04-01,186.5601872842597,215.31965584170655,154.0,1
118,2023-05-01,188.66875687449615,173.47821422787823,213.0,1
119,2023-06-01,151.67401712774665,205.22689843653023,192.0,1
120,2023-07-01,177.5936592475067,194.00277372020952,,1
121,2023-08-01,206.6076761146687,194.9587313315856,,1
122,2023-09-01,192.78653799504087,195.41502599209883,,1
123,2023-10-01,228.359572829394,195.63282311483235,,1
124,2023-11-01,196.90137999130332,195.7367813479128,,1
125,2023-12-01,149.5244163512644,195.7864023625964,,1
126,2024-01-01,197.30664573485348,195.8100873082257,,1
127,2024-02-01,179.6238980313846,195.82139253148725,,1
128,2024-03-01,210.70933963544783,195.82678870486228,,1
129,2024-04-01,171.12859623597953,195.82936438925344,,1
130,2024-05-01,173.14533093145977,195.83059380677244,,1
131,2024-06-01,133.59114125783412,195.83118062845028,,1
108,2022-07-01,95.36263618419808,116.29882224509257,153.0,5
109,2022-08-01,108.28939495106157,130.56504631551536,100.0,5
110,2022-09-01,109.47919045642712,104.49229197991504,95.0,5
111,2022-10-01,116.92686455429788,102.03259817466972,88.0,5
112,2022-11-01,107.46800584275243,98.5890268473263,75.0,5
113,2022-12-01,82.10155195066793,92.19382295368848,49.0,5
114,2023-01-01,114.04399770207408,79.40341516641284,72.0,5
115,2023-02-01,106.10812779000196,90.71800667054129,92.0,5
116,2023-03-01,115.93538596245752,100.55678189152252,102.0,5
117,2023-04-01,102.95856536828288,105.47616950201316,66.0,5
118,2023-05-01,100.98590544145765,87.7663741042469,99.0,5
119,2023-06-01,84.1514306806888,104.00035321886598,74.0,5
120,2023-07-01,94.96328288467478,91.7018841926394,,5
121,2023-08-01,106.46707150758364,100.41012717060045,,5
122,2023-09-01,107.8449538534224,104.69404943209278,,5
123,2023-10-01,114.62730411838004,106.80147684184182,,5
124,2023-11-01,106.3816466285568,107.8382020707946,,5
125,2023-12-01,81.39353166535399,108.34820739547392,,5
126,2024-01-01,113.16903487138786,108.59909878302513,,5
127,2024-02-01,104.99585759804214,108.72252198137492,,5
128,2024-03-01,117.60958549686836,108.78323863665584,,5
129,2024-04-01,101.95636897813438,108.81310751282976,,5
130,2024-05-01,99.45755617572614,108.82780117076872,,5
131,2024-06-01,81.83913055340936,108.83502955065046,,5
108,2022-07-01,207.6460256420189,218.25261084690115,231.0,6
